epoch,accuracy_function,loss,val_accuracy_function,val_loss
0,0.10841968,6.859959013170475,0.18848316,5.4225867711580715
1,0.24821335,4.906373859309464,0.29967216,4.46827114545382
2,0.33486074,4.127094030380249,0.37328005,3.8358965653639574
3,0.39411178,3.5813708995743623,0.42475283,3.394167551627526
4,0.43854573,3.175590862473138,0.46095225,3.08122365291302
5,0.4713469,2.8864252528698326,0.48848423,2.8985829169933615
6,0.493105,2.691061818771225,0.49420437,2.8039700434758115
7,0.5124669,2.5333879307019624,0.51694626,2.6768149595994215
8,0.5358238,2.3528909863327905,0.5278864,2.5839804135836086
9,0.5567116,2.2035873888207855,0.53838104,2.52605625299307
10,0.5734322,2.074855785361297,0.554638,2.4579930855677676
11,0.5877918,1.9697948921498636,0.5560416,2.438296391413762
12,0.60238206,1.8715532662199557,0.5583999,2.4313455544985256
13,0.6126401,1.7911965859879693,0.55952495,2.3987174951113186
14,0.62467045,1.7126131936800566,0.56967795,2.3976613191457896
15,0.6346539,1.642307991389748,0.5638339,2.417777446600107
16,0.64419085,1.5794127244743512,0.5715119,2.383446033184345
17,0.6531261,1.5196800079705903,0.5733448,2.3780215886922984
18,0.6610576,1.4700142001505379,0.5755148,2.4038028166844296
19,0.6695574,1.4162124159524767,0.57580364,2.399697578870333
20,0.67606807,1.3708540518506824,0.56619024,2.444044516636775
21,0.6841415,1.3240710635193818,0.57186604,2.462251828267024
22,0.68983597,1.2873249310169288,0.5701136,2.4458397168379564
23,0.6974806,1.2493797949106573,0.56505334,2.464922538170448
24,0.70398295,1.2141552628587475,0.55879986,2.4908580780029297
25,0.70868397,1.1799252913366975,0.5632557,2.4964927526620717
26,0.715002,1.1517230826530525,0.5590284,2.5270767211914062
27,0.72054017,1.118231532492226,0.56196266,2.5905351088597226
28,0.72535026,1.0928551093708696,0.55607474,2.5752106263087344
29,0.73035413,1.065734300146,0.56806636,2.55640277495751
30,0.7356855,1.0403362073057847,0.56069255,2.5858204731574426
31,0.7387165,1.0224927915729207,0.56720966,2.612189586345966
32,0.7431686,0.9997474097733875,0.563534,2.6216455422914944
33,0.7481088,0.9774542063903465,0.5576227,2.6606614406292257
34,0.7515486,0.9594855949604254,0.5565853,2.658186857516949
35,0.7557287,0.939752249408969,0.5572064,2.6751310641948995
36,0.75873613,0.9223914123910795,0.5555182,2.69881927050077
37,0.7634121,0.9031963705373325,0.5591215,2.682500490775475
38,0.76544696,0.8893046900093984,0.5539382,2.7335932621589074
39,0.7694213,0.873227083318525,0.5547876,2.7314287515786977
