epoch,accuracy_function,loss,val_accuracy_function,val_loss
0,0.7008885,1.233957984893442,0.5688576,2.3912036418914795
1,0.7052535,1.2136338847361023,0.57122475,2.3779297791994534
2,0.7081733,1.2034492969727344,0.57348996,2.3691822565518894
3,0.7100023,1.1937620907807522,0.57425505,2.368772635093102
4,0.7120018,1.1868885899190422,0.57096773,2.375574625455416
5,0.71199864,1.1828454408071023,0.57617146,2.376172560911912
6,0.7137897,1.1780131111899725,0.5742997,2.380310993928176
7,0.71543795,1.1710790544748306,0.5743616,2.3645332776583157
8,0.7160811,1.167816291074101,0.5804064,2.3705798662625828
9,0.7110689,1.1854049469069612,0.5492521,2.5073905357947717
10,0.6852448,1.3049103439711838,0.56356645,2.435518448169415
11,0.69499344,1.25787976469925,0.56644535,2.4050736794104943
12,0.70264083,1.2249228008788267,0.57118577,2.3920990503751316
13,0.7050178,1.212209267903575,0.5733653,2.3801322166736307
14,0.7084274,1.1987293067810347,0.57693887,2.367405726359441
15,0.7099584,1.1912096766687983,0.5764616,2.354023346534142
16,0.7107852,1.1847051058312972,0.57533383,2.3575877226316013
17,0.7126819,1.179620046838582,0.5818494,2.3559926656576304
18,0.7136113,1.1759162162490886,0.5779335,2.3479668360490065
19,0.7135654,1.1734606592560843,0.57843083,2.3591893452864428
